"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129" "V130" "V131" "V132" "V133" "V134" "V135" "V136" "V137" "V138" "V139" "V140" "V141" "V142" "V143" "V144" "V145" "V146" "V147" "V148" "V149" "V150" "V151" "V152" "V153" "V154" "V155" "V156" "V157" "V158" "V159" "V160" "V161" "V162" "V163" "V164" "V165" "V166" "V167" "V168" "V169" "V170" "V171" "V172" "V173" "V174" "V175" "V176" "V177" "V178" "V179" "V180" "V181" "V182" "V183" "V184" "V185" "V186" "V187" "V188" "V189" "V190" "V191" "V192" "V193" "V194" "V195" "V196" "V197" "V198" "V199" "V200"
"11" 1913 1873 Inf Inf Inf Inf Inf Inf Inf 8988 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 8425 Inf Inf 5057 Inf Inf 2275 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 8727 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 3203 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 815 Inf Inf Inf 7299 Inf 4211 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 6180 Inf Inf Inf Inf Inf Inf 833 Inf Inf 294 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 4802 Inf Inf Inf Inf Inf Inf 8497 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 1696 Inf Inf 8448 Inf 594 Inf 2045 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf
"12" Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 8068 4602 1520 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 6690 Inf Inf Inf 6699 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 7001 Inf Inf Inf 9416 Inf 761 5933 Inf 5676 Inf Inf Inf Inf 371 Inf Inf Inf 6734 3626 Inf Inf Inf Inf Inf 5753 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 7542 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf
"13" Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 2784 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 5400 Inf 1794 Inf Inf Inf Inf 758 Inf Inf Inf Inf Inf Inf 6850 Inf 9801 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 8638 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 7026 Inf Inf Inf Inf Inf Inf Inf 6821 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 861 Inf Inf Inf Inf Inf Inf Inf Inf 9987 Inf Inf Inf Inf Inf Inf 9629 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 3870 Inf Inf Inf Inf Inf Inf Inf Inf 2070 Inf Inf Inf Inf Inf 4194 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf
"14" Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 3841 Inf Inf Inf Inf 1945 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 3199 Inf Inf Inf 7898 Inf Inf Inf Inf Inf 9197 Inf Inf Inf Inf Inf Inf 2464 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 4106 Inf Inf Inf Inf Inf Inf Inf Inf 3283 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 3551 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 7912 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 373 960 Inf Inf Inf 2733 Inf Inf 9602 5682 9662 Inf Inf 358 Inf Inf Inf Inf Inf Inf Inf Inf Inf 4477 Inf 5848 Inf Inf Inf Inf Inf 4352 Inf Inf Inf Inf Inf 4446 Inf Inf Inf Inf 7860 4275 Inf Inf Inf Inf Inf Inf Inf 4333 Inf Inf Inf Inf Inf 6718 Inf 6741 Inf Inf Inf Inf Inf Inf Inf Inf Inf 4874 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf
"15" Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 3571 Inf 8040 7019 Inf Inf Inf Inf Inf Inf Inf Inf 7961 Inf Inf Inf Inf Inf Inf Inf 1789 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 8983 Inf 2334 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 9606 Inf Inf Inf Inf Inf 809 Inf Inf Inf Inf Inf Inf 4589 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 1041 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 2136 Inf Inf Inf Inf Inf 818 Inf Inf Inf Inf Inf 7485 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 6854 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf
"16" Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 8068 Inf Inf Inf Inf Inf 8663 Inf Inf Inf Inf Inf Inf Inf Inf 8673 Inf Inf Inf Inf Inf Inf Inf 839 1555 Inf Inf Inf Inf 2747 2596 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 6680 9828 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 5894 Inf Inf Inf Inf Inf Inf 4116 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 4558 Inf 2896 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 1469 4252 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 9807 Inf Inf Inf Inf Inf Inf 5203 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 1680 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 3482 Inf Inf Inf Inf Inf Inf 1714 Inf Inf Inf Inf Inf Inf 6280 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 2223 Inf 2848
"17" Inf 5409 Inf Inf 2514 Inf Inf 3535 7002 Inf Inf 4602 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 1275 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 5114 Inf Inf Inf Inf Inf Inf Inf Inf 3115 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 6176 Inf Inf 3610 3899 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 4615 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 1942 Inf Inf Inf Inf Inf 8915 Inf Inf 6266 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 6440 Inf 8016 Inf Inf Inf 5362 Inf Inf Inf Inf Inf Inf 8545 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 4762 Inf Inf Inf Inf Inf Inf 7312 Inf Inf Inf Inf 7464 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 7000 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf
"18" Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 1520 Inf Inf Inf 8663 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 4216 Inf Inf Inf Inf 1926 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 5252 Inf Inf Inf Inf Inf 7517 Inf Inf Inf Inf Inf Inf Inf Inf 6122 Inf Inf Inf 5717 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 785 Inf Inf Inf Inf Inf Inf 6388 Inf 44 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 2702 Inf Inf Inf Inf Inf Inf Inf Inf 332 Inf Inf Inf 9000 Inf 589 2664 5150 Inf Inf Inf 453 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 7625 Inf Inf 4989 4403 Inf 7256 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf
"19" Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 8560 Inf Inf Inf Inf Inf Inf Inf Inf Inf 6938 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 7013 Inf Inf 62 Inf Inf Inf Inf Inf Inf Inf 2002 Inf Inf Inf Inf Inf Inf 8691 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 8397 Inf Inf Inf Inf Inf Inf Inf Inf Inf 7406 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 3157 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 9751 Inf 4320 Inf Inf Inf Inf Inf 3997 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 5896 Inf 107 Inf Inf Inf Inf Inf Inf Inf 5038 Inf Inf Inf Inf Inf
"20" Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 2234 Inf Inf Inf Inf 6387 Inf Inf Inf Inf Inf Inf Inf 4203 Inf 8105 Inf Inf Inf Inf Inf Inf 9507 Inf Inf Inf Inf Inf 7194 Inf Inf Inf Inf 2580 Inf Inf Inf Inf 2667 Inf Inf Inf Inf Inf Inf Inf 6183 2484 Inf Inf Inf Inf Inf Inf Inf Inf Inf 1435 Inf 2639 3014 Inf 7372 Inf 1704 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 8785 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 392 Inf Inf Inf Inf Inf 9048 Inf Inf Inf Inf 6434 Inf Inf Inf Inf Inf Inf Inf Inf Inf 8099 Inf Inf Inf Inf Inf Inf Inf Inf 2398 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf 6086 Inf Inf 5990 Inf Inf Inf 2676 Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf Inf
